# Y X mu var 2var std 2std noisevar 2noisevar noisestd 2noisestd fullvar 2fullvar fullstd 2fullstd
1.417938334574973647e+00 -3.266533066132264462e-01 4.440892098500626162e-16 2.356282707379091300e-05 4.712565414758182599e-05 4.854155649934487927e-03 9.708311299868975855e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961317393819797722e-02 5.922634787639595444e-02 1.720847870620700049e-01 3.441695741241400097e-01
2.730765869558274272e-01 -3.126252505010019833e-01 4.440892098500626162e-16 2.349384773137159493e-05 4.698769546274318985e-05 4.847045257821675814e-03 9.694090515643351627e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961310495885555866e-02 5.922620991771111731e-02 1.720845866394069557e-01 3.441691732788139113e-01
0.000000000000000000e+00 -2.985971943887775204e-01 4.440892098500626162e-16 2.342486838895229041e-05 4.684973677790458082e-05 4.839924419756189665e-03 9.679848839512379330e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961303597951314009e-02 5.922607195902628019e-02 1.720843862165104821e-01 3.441687724330209641e-01
1.801987072754409169e+00 -2.845691382765530575e-01 4.440892098500626162e-16 2.335588904653297573e-05 4.671177809306595145e-05 4.832793089563526892e-03 9.665586179127053784e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961296700017072153e-02 5.922593400034144306e-02 1.720841857933805563e-01 3.441683715867611126e-01
0.000000000000000000e+00 -2.705410821643285946e-01 4.440892098500626162e-16 2.328690970411365088e-05 4.657381940822730176e-05 4.825651220728001227e-03 9.651302441456002454e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961289802082830297e-02 5.922579604165660594e-02 1.720839853700172339e-01 3.441679707400344679e-01
0.000000000000000000e+00 -2.565130260521042427e-01 4.440892098500626162e-16 2.321793036169434297e-05 4.643586072338868595e-05 4.818498766389210826e-03 9.636997532778421652e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961282904148588094e-02 5.922565808297176188e-02 1.720837849464204594e-01 3.441675698928409188e-01
1.484720460844509482e+00 -2.424849699398797798e-01 4.440892098500626162e-16 2.314895101927503168e-05 4.629790203855006336e-05 4.811335679338434382e-03 9.622671358676868764e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961276006214346238e-02 5.922552012428692475e-02 1.720835845225902605e-01 3.441671690451805210e-01
0.000000000000000000e+00 -2.284569138276553169e-01 4.440892098500626162e-16 2.307997167685571700e-05 4.615994335371143399e-05 4.804161912015009889e-03 9.608323824030019777e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961269108280104381e-02 5.922538216560208763e-02 1.720833840985266094e-01 3.441667681970532189e-01
2.424826069296909026e+00 -2.144288577154308539e-01 4.440892098500626162e-16 2.301099233443640570e-05 4.602198466887281141e-05 4.796977416502646620e-03 9.593954833005293240e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961262210345862525e-02 5.922524420691725050e-02 1.720831836742295617e-01 3.441663673484591235e-01
2.273965118669688756e+00 -2.004008016032063910e-01 4.440892098500626162e-16 2.294201299201709441e-05 4.588402598403418882e-05 4.789782144525687665e-03 9.579564289051375331e-03 2.958961111112418801e-02 5.917922222224837603e-02 1.720163105961879102e-01 3.440326211923758204e-01 2.961255312411620669e-02 5.922510624823241338e-02 1.720829832496990619e-01 3.441659664993981238e-01
