# Y X drop drop_diff a0 a1
3.088235294117647189e+00 1.470588235294117696e-01 -8.181646426996813659e-05 -1.471406399936817377e-01 5.021165628497001876e-01 4.458053514179385890e-01
3.235294117647058876e+00 1.470588235294117696e-01 2.528865569342286790e-04 -1.468059369724775409e-01 4.958558290250404954e-01 4.428325553348105847e-01
3.382352941176470562e+00 1.470588235294117696e-01 -6.446198071266007190e-04 -1.477034433365383703e-01 4.841473739183100311e-01 4.434338766751805272e-01
3.529411764705882248e+00 1.470588235294117696e-01 -2.990860458225164109e-04 -1.473579095752342860e-01 4.662832165636308646e-01 4.478685186960632003e-01
3.676470588235294379e+00 1.470588235294117696e-01 -7.703221955792649567e-04 -1.478291457249910346e-01 4.429346849909516770e-01 4.556532361216213411e-01
3.823529411764706065e+00 1.470588235294117696e-01 -6.197471534157283912e-04 -1.476785706828274980e-01 4.147795146115931808e-01 4.661673892031288347e-01
3.970588235294117752e+00 1.470588235294117696e-01 -1.097063210568904879e-04 -1.471685298504686601e-01 3.816991410644651750e-01 4.797380814319990305e-01
4.117647058823529882e+00 1.470588235294117696e-01 6.932554054968065316e-04 -1.463655681239149631e-01 3.458004821821282770e-01 4.951551350484901248e-01
4.264705882352941124e+00 1.470588235294117696e-01 9.721130571427316625e-05 -1.469616122236974964e-01 3.081486198661173015e-01 5.121660006067644266e-01
4.411764705882353255e+00 1.470588235294117696e-01 2.904823039242554472e-04 -1.467683412254875142e-01 2.701087481078537356e-01 5.304854849286079199e-01
4.558823529411764497e+00 1.470588235294117696e-01 3.856942743722946432e-04 -1.466731292550394750e-01 2.335663817180877733e-01 5.490544966586389242e-01
4.705882352941176627e+00 1.470588235294117696e-01 2.395757991318081537e-04 -1.468192477302799615e-01 1.992947554194335891e-01 5.684332806283960426e-01
4.852941176470588758e+00 1.470588235294117696e-01 -6.473130672579596734e-04 -1.477061365966697293e-01 1.682400255113456200e-01 5.880885641234439021e-01
5.000000000000000000e+00 1.470588235294117696e-01 -1.296671656219050561e-04 -1.471884906950336747e-01 1.409690844692329248e-01 6.076821499103074453e-01
0.000000000000000000e+00 2.941176470588235392e-01 3.985822722825105302e-04 -2.937190647865410287e-01 1.955064966482693567e-01 4.139853358260185412e-01
1.470588235294117696e-01 2.941176470588235392e-01 -1.550069748934568281e-05 -2.941331477563128849e-01 2.200028857114563752e-01 4.749666164462799101e-01
2.941176470588235392e-01 2.941176470588235392e-01 4.642867801318839582e-04 -2.936533602786916552e-01 2.418412687321565002e-01 5.259176825211312467e-01
4.411764705882352811e-01 2.941176470588235392e-01 -8.275141943021591118e-04 -2.949451612531256983e-01 2.608709506657095334e-01 5.650932229337941592e-01
5.882352941176470784e-01 2.941176470588235392e-01 -2.580828726550521424e-04 -2.943757299314785914e-01 2.779891788104438266e-01 5.921686509529157094e-01
7.352941176470588758e-01 2.941176470588235392e-01 5.693119223701970100e-04 -2.935483351364533422e-01 2.938999002270207828e-01 6.087648702751263796e-01
8.823529411764705621e-01 2.941176470588235392e-01 2.573072501266260304e-04 -2.938603398086969132e-01 3.095345271095773509e-01 6.163568950979642080e-01
1.029411764705882470e+00 2.941176470588235392e-01 -1.025674060662451481e-03 -2.951433211194859907e-01 3.256505510383785884e-01 6.166751393863311170e-01
1.176470588235294157e+00 2.941176470588235392e-01 5.216730879600284254e-04 -2.935959739708635108e-01 3.427278754443422448e-01 6.110961867422481930e-01
1.323529411764705843e+00 2.941176470588235392e-01 4.764328866535549878e-06 -2.941128827299570037e-01 3.607251502091105011e-01 6.009814027693739513e-01
1.470588235294117752e+00 2.941176470588235392e-01 2.268028318919146358e-04 -2.938908442269316246e-01 3.795751278323321598e-01 5.875032767884292850e-01
1.617647058823529438e+00 2.941176470588235392e-01 -1.348415105661970870e-03 -2.954660621644855101e-01 3.995077664008514495e-01 5.710837380144857534e-01
1.764705882352941124e+00 2.941176470588235392e-01 -1.158921766375442530e-04 -2.942335392354610835e-01 4.199104140145762387e-01 5.528085480274920194e-01
1.911764705882353033e+00 2.941176470588235392e-01 -6.227191791869923776e-04 -2.947403662380105316e-01 4.401359556162104392e-01 5.335953280251749531e-01
2.058823529411764941e+00 2.941176470588235392e-01 6.750404871345150326e-04 -2.934426065716890242e-01 4.595498569999381111e-01 5.142828525373067672e-01
2.205882352941176627e+00 2.941176470588235392e-01 2.930185552987296660e-04 -2.938246285035248095e-01 4.773292862748828580e-01 4.957371629363916399e-01
2.352941176470588314e+00 2.941176470588235392e-01 5.055511193681194726e-04 -2.936120959394554197e-01 4.930927923308463523e-01 4.783800142529073263e-01
2.500000000000000000e+00 2.941176470588235392e-01 6.358659234364516522e-04 -2.934817811353870876e-01 5.059627698633188952e-01 4.630316762870111957e-01
2.647058823529411686e+00 2.941176470588235392e-01 -6.498848401117474083e-04 -2.947675318989352866e-01 5.158559209505970689e-01 4.496472277064252343e-01
2.794117647058823817e+00 2.941176470588235392e-01 4.288885263830088945e-04 -2.936887585324405303e-01 5.211871274994607228e-01 4.396639280361753777e-01
2.941176470588235503e+00 2.941176470588235392e-01 5.515039936836441115e-04 -2.935661430651398951e-01 5.218414439339824629e-01 4.330401499270850052e-01
3.088235294117647189e+00 2.941176470588235392e-01 1.044167055335165628e-04 -2.940132303532900226e-01 5.176181223648620433e-01 4.297299340331234840e-01
3.235294117647058876e+00 2.941176470588235392e-01 9.707418285800351043e-04 -2.931469052302435041e-01 5.076627772940233152e-01 4.303275291370326494e-01
3.382352941176470562e+00 2.941176470588235392e-01 -7.391193106129900769e-04 -2.948567663694365293e-01 4.922459856429508562e-01 4.344945702437001955e-01
3.529411764705882248e+00 2.941176470588235392e-01 5.956463831153779864e-04 -2.935220006757081612e-01 4.711430308434411685e-01 4.421309308828379470e-01
3.676470588235294379e+00 2.941176470588235392e-01 4.097032998400251813e-04 -2.937079437589835140e-01 4.441890703316404565e-01 4.535795631375685311e-01
3.823529411764706065e+00 2.941176470588235392e-01 3.310546899453203906e-04 -2.937865923688782188e-01 4.124884192489816637e-01 4.677674532323801704e-01
3.970588235294117752e+00 2.941176470588235392e-01 1.475469585876520995e-04 -2.939701001002358871e-01 3.768866434237942986e-01 4.844923517599545870e-01
4.117647058823529882e+00 2.941176470588235392e-01 -3.666759094409499653e-04 -2.944843229682644892e-01 3.384809389369232147e-01 5.032429548325693114e-01
4.264705882352941124e+00 2.941176470588235392e-01 -4.453886052702138443e-05 -2.941621859193505606e-01 2.989238013997871923e-01 5.233435097499661293e-01
4.411764705882353255e+00 2.941176470588235392e-01 -1.660703818018305356e-05 -2.941342540970037223e-01 2.599123756177762479e-01 5.442777928416555611e-01
4.558823529411764497e+00 2.941176470588235392e-01 5.166552120572376339e-05 -2.940659815376178154e-01 2.226526016835627397e-01 5.658234853853567614e-01
4.705882352941176627e+00 2.941176470588235392e-01 2.067929402402857164e-04 -2.939108541185832535e-01 1.883296383630948811e-01 5.874901897887037094e-01
4.852941176470588758e+00 2.941176470588235392e-01 -8.145251221149951704e-04 -2.949321721809385344e-01 1.576328648364357932e-01 6.091443276578635269e-01
5.000000000000000000e+00 2.941176470588235392e-01 -9.543258284350208953e-05 -2.942130796416670413e-01 1.310340118490583017e-01 6.307566807198491388e-01
0.000000000000000000e+00 4.411764705882352811e-01 1.565310448423673506e-04 -4.410199395433929137e-01 2.070267347394435242e-01 4.071995729316792989e-01
1.470588235294117696e-01 4.411764705882352811e-01 1.352059753998435809e-04 -4.410412646128354375e-01 2.335469062447099176e-01 4.639447896599386278e-01
2.941176470588235392e-01 4.411764705882352811e-01 -2.949513021832661508e-04 -4.414714218904185472e-01 2.575497692002936545e-01 5.110171069784873454e-01
4.411764705882352811e-01 4.411764705882352811e-01 -1.473517685628422669e-04 -4.413238223567981233e-01 2.788620009392753785e-01 5.466899755965464180e-01
5.882352941176470784e-01 4.411764705882352811e-01 -1.032987545738217605e-03 -4.422094581339734987e-01 2.979613371749283424e-01 5.712270673215313899e-01
7.352941176470588758e-01 4.411764705882352811e-01 5.184582941952786683e-04 -4.406580122940400024e-01 3.159844915813893595e-01 5.855355968858818594e-01
8.823529411764705621e-01 4.411764705882352811e-01 -2.264325075183037939e-04 -4.414029030957535849e-01 3.334789346809604038e-01 5.912785047632226343e-01
1.029411764705882470e+00 4.411764705882352811e-01 -5.474263529019474106e-04 -4.417238969411372285e-01 3.510542317683685298e-01 5.903275112056181051e-01
1.176470588235294157e+00 4.411764705882352811e-01 -1.208272258932385768e-04 -4.412972978141285196e-01 3.692797644484089870e-01 5.837141756821458971e-01
1.323529411764705843e+00 4.411764705882352811e-01 2.082100973381795228e-04 -4.409682604908971015e-01 3.880061171830313516e-01 5.730580933463071958e-01
1.470588235294117752e+00 4.411764705882352811e-01 -6.092670407480405004e-04 -4.417857376289833216e-01 4.071678608805950339e-01 5.594080273759589605e-01
1.617647058823529438e+00 4.411764705882352811e-01 -3.380135073574042082e-04 -4.415144840955926853e-01 4.268225736224613431e-01 5.433900581837568522e-01
1.764705882352941124e+00 4.411764705882352811e-01 8.379365816504336095e-04 -4.403385340065848474e-01 4.462119497366708876e-01 5.261754441497924484e-01
1.911764705882353033e+00 4.411764705882352811e-01 -3.220960045300369501e-04 -4.414985665927653180e-01 4.653900499333601948e-01 5.080826879925829376e-01
2.058823529411764941e+00 4.411764705882352811e-01 7.063164428311452525e-05 -4.411058389439521665e-01 4.829731053176903877e-01 4.905786629273385935e-01
2.205882352941176627e+00 4.411764705882352811e-01 -1.984853980441236843e-04 -4.413749559862794047e-01 4.988313281414164524e-01 4.739604970354318603e-01
2.352941176470588314e+00 4.411764705882352811e-01 -4.243855031860199745e-05 -4.412189091385538831e-01 5.120465134305937083e-01 4.591107152927035862e-01
2.500000000000000000e+00 4.411764705882352811e-01 -1.870361253055730089e-04 -4.413635067135408541e-01 5.221041631720098053e-01 4.464807658837268156e-01
2.647058823529411686e+00 4.411764705882352811e-01 -2.778661804303528271e-04 -4.414543367686656339e-01 5.286849346287421092e-01 4.363206825447107917e-01
2.794117647058823817e+00 4.411764705882352811e-01 3.248765686774124362e-04 -4.408515940195578686e-01 5.308424343954347702e-01 4.294400607911529888e-01
2.941176470588235503e+00 4.411764705882352811e-01 1.436504497815960235e-03 -4.397399660904193208e-01 5.283425677252483466e-01 4.258242737666791400e-01
3.088235294117647189e+00 4.411764705882352811e-01 -2.740023922487289099e-05 -4.412038708274601539e-01 5.203843372285911206e-01 4.261027271530978267e-01
