# X align relalign posterior
-1.044717707754045266e+00 -1.055816035604162151e+00 -1.109832785011688472e-02 1.324099081471139971e+00
-1.039946217880768131e+00 -1.049095145659267647e+00 -9.148927778499515995e-03 1.429036355846621476e+00
-1.035174728007490774e+00 -1.042291514987659484e+00 -7.116786980168710031e-03 1.463855902987074575e+00
-1.030403238134213639e+00 -1.035409868622028995e+00 -5.006630487815355579e-03 1.462358559857119822e+00
-1.025631748260936504e+00 -1.028455016167833636e+00 -2.823267906897131141e-03 1.475960869203745141e+00
-1.020860258387659147e+00 -1.021432103779341238e+00 -5.718453916820909200e-04 1.539847014362563993e+00
-1.016088768514382012e+00 -1.014346376018651741e+00 1.742392495730271662e-03 1.645622788188429997e+00
-1.011317278641104878e+00 -1.007203441272836342e+00 4.113837368268535855e-03 1.741650995921512735e+00
-1.006545788767827521e+00 -1.000008860557905166e+00 6.536928209922354682e-03 1.764964273874588763e+00
-1.001774298894550386e+00 -9.927685381333126724e-01 9.005760761237713297e-03 1.684935643447222020e+00
-9.970028090212731398e-01 -9.854884060898034814e-01 1.151440293146965832e-02 1.527935602026398332e+00
-9.922313191479960048e-01 -9.781746265238333571e-01 1.405669262416264775e-02 1.364115568596239392e+00
-9.874598292747187589e-01 -9.708333308437381293e-01 1.662649843098062963e-02 1.264140550846560629e+00
-9.826883394014415130e-01 -9.634708906494192648e-01 1.921744875202224812e-02 1.254965887519592815e+00
-9.779168495281643780e-01 -9.560937353050608101e-01 2.182311422310356797e-02 1.303482381785009636e+00
-9.731453596548871321e-01 -9.487081948361814066e-01 2.443716481870572554e-02 1.336167284398834809e+00
-9.683738697816098862e-01 -9.413208337906987522e-01 2.705303599091113398e-02 1.279029165724144601e+00
-9.636023799083326402e-01 -9.339381555528268875e-01 2.966422435550575276e-02 1.093574896698078280e+00
-9.588308900350555053e-01 -9.265666116556106058e-01 3.226427837944489951e-02 7.933644325426868482e-01
-9.540594001617782594e-01 -9.192127872598806482e-01 3.484661290189761118e-02 4.390846931739735837e-01
-9.492879102885010134e-01 -9.118831033645191653e-01 3.740480692398184814e-02 1.167340230535730550e-01
-9.445164204152238785e-01 -9.045840123605205507e-01 3.993240805470332777e-02 -9.417992641276079491e-02
-9.397449305419466326e-01 -8.973218067748500726e-01 4.242312376709655997e-02 -1.516587782233008164e-01
-9.349734406686693866e-01 -8.901028420828671628e-01 4.487059858580222382e-02 -6.722345710957888798e-02
-9.302019507953922517e-01 -8.829332771322128126e-01 4.726867366317943908e-02 1.022105088306292098e-01
-9.254304609221150058e-01 -8.758190796390382671e-01 4.961138128307673867e-02 2.821686146797187655e-01
-9.206589710488377598e-01 -8.687661387116285550e-01 5.189283233720920485e-02 4.121843648329334142e-01
-9.158874811755606249e-01 -8.617802919897096237e-01 5.410718918585100123e-02 4.651808862642455855e-01
-9.111159913022833789e-01 -8.548671075823010002e-01 5.624888371998237879e-02 4.489505433403219170e-01
-9.063445014290061330e-01 -8.480318831069716401e-01 5.831261832203449291e-02 3.949286496550317160e-01
-9.015730115557289981e-01 -8.412798113399281297e-01 6.029320021580086841e-02 3.434908528511744219e-01
-8.968015216824517521e-01 -8.346159209455555894e-01 6.218560073689616274e-02 3.320150589439314626e-01
-8.920300318091745062e-01 -8.280449196946124690e-01 6.398511211456203718e-02 3.871352017415934377e-01
-8.872585419358973713e-01 -8.215712375526529332e-01 6.568730438324443810e-02 5.202776805762402423e-01
-8.824870520626201253e-01 -8.151991052362681511e-01 6.728794682635197422e-02 7.258965126800914769e-01
-8.777155621893428794e-01 -8.089324308203099667e-01 6.878313136903291269e-02 9.825234221342765695e-01
-8.729440723160657445e-01 -8.027749976800473419e-01 7.016907463601840256e-02 1.256580697431763038e+00
-8.681725824427884985e-01 -7.967299973165431481e-01 7.144258512624535040e-02 1.508518569827915989e+00
-8.634010925695112526e-01 -7.908004809751316699e-01 7.260061159437958267e-02 1.700547314757728135e+00
-8.586296026962340067e-01 -7.849892992604783348e-01 7.364030343575567183e-02 1.804994504308244707e+00
-8.538581128229568717e-01 -7.792987572848357747e-01 7.455935553812109706e-02 1.811352127973006709e+00
-8.490866229496796258e-01 -7.737309505575973301e-01 7.535567239208229573e-02 1.729548520145563373e+00
-8.443151330764023799e-01 -7.682875662343676693e-01 7.602756684203471060e-02 1.587798482975328440e+00
-8.395436432031252449e-01 -7.629700427339554114e-01 7.657360046916983354e-02 1.425359821872682176e+00
-8.347721533298479990e-01 -7.577793829889178934e-01 7.699277034093010563e-02 1.282565138616625688e+00
-8.300006634565707531e-01 -7.527163246334905855e-01 7.728433882308016756e-02 1.191424497681363714e+00
-8.252291735832936181e-01 -7.477810278405249145e-01 7.744814574276870367e-02 1.169500528586557397e+00
-8.204576837100163722e-01 -7.429735289867634984e-01 7.748415472325287379e-02 1.218293125433686619e+00
-8.156861938367391263e-01 -7.382935306437342637e-01 7.739266319300486252e-02 1.325691641261941278e+00
-8.109147039634619913e-01 -7.337401798577196654e-01 7.717452410574232591e-02 1.471011139897008047e+00
-8.061432140901847454e-01 -7.293123677298936069e-01 7.683084636029113845e-02 1.630694068459071389e+00
-8.013717242169074995e-01 -7.250085950215134911e-01 7.636312919539400834e-02 1.783124724272993067e+00
-7.966002343436303645e-01 -7.208271052492358777e-01 7.577312909439448685e-02 1.911678313674983087e+00
-7.918287444703531186e-01 -7.167657563331507609e-01 7.506298813720235774e-02 2.005878093160373243e+00
-7.870572545970758727e-01 -7.128219122242062111e-01 7.423534237286966153e-02 2.061044710495710586e+00
-7.822857647237987377e-01 -7.089929125756767592e-01 7.329285214812197857e-02 2.077071590157820502e+00
-7.775142748505214918e-01 -7.052755083206160291e-01 7.223876652990546265e-02 2.056948459141550334e+00
-7.727427849772442459e-01 -7.016662203628448724e-01 7.107656461439937345e-02 2.005434409248459282e+00
-7.679712951039671109e-01 -6.981613101748874728e-01 6.980998492907963815e-02 1.928101472829717888e+00
-7.631998052306898650e-01 -6.947566348644864664e-01 6.844317036620339856e-02 1.830758571597755235e+00
-7.584283153574126191e-01 -6.914478941777195686e-01 6.698042117969305043e-02 1.719188197263750606e+00
-7.536568254841353731e-01 -6.882304403074862575e-01 6.542638517664911557e-02 1.599050410789557120e+00
-7.488853356108582382e-01 -6.850993666054402409e-01 6.378596900541799730e-02 1.475850467751766093e+00
-7.441138457375809923e-01 -6.820495874772009026e-01 6.206425826038008964e-02 1.354895569365842434e+00
-7.393423558643037463e-01 -6.790757076723292762e-01 6.026664819197447009e-02 1.241188052352059756e+00
-7.345708659910266114e-01 -6.761721904456053922e-01 5.839867554542121919e-02 1.139279138603805475e+00
-7.297993761177493655e-01 -6.733332118887598305e-01 5.646616422898953491e-02 1.053080791125058813e+00
-7.250278862444721195e-01 -6.705528478869493547e-01 5.447503835752276480e-02 9.856858110918674809e-01
-7.202563963711949846e-01 -6.678250175945228406e-01 5.243137877667214397e-02 9.392065935618535422e-01
-7.154849064979177387e-01 -6.651434708164780663e-01 5.034143568143967240e-02 9.146653809489707632e-01
-7.107134166246404927e-01 -6.625017477990366999e-01 4.821166882560379285e-02 9.119480328177921313e-01
-7.059419267513633578e-01 -6.598934323479074271e-01 4.604849440345593070e-02 9.298118922419974508e-01
-7.011704368780861119e-01 -6.573118758842322329e-01 4.385856099385387896e-02 9.659613162827062061e-01
-6.963989470048088659e-01 -6.547504830503343420e-01 4.164846395447452387e-02 1.017166930470169817e+00
-6.916274571315317310e-01 -6.522025051240819549e-01 3.942495200744977613e-02 1.079435725803180368e+00
-6.868559672582544851e-01 -6.496612558157615069e-01 3.719471144249297812e-02 1.148209857270608314e+00
-6.820844773849772391e-01 -6.471199586002223114e-01 3.496451878475492769e-02 1.218604248850017946e+00
-6.773129875117001042e-01 -6.445719063850240405e-01 3.274108112667606374e-02 1.285664133166801726e+00
-6.725414976384228583e-01 -6.420103199841513675e-01 3.053117765427149077e-02 1.344649844872889410e+00
-6.677700077651456123e-01 -6.394285644354583686e-01 2.834144332968724367e-02 1.391328166360219054e+00
-6.629985178918684774e-01 -6.368200037021333193e-01 2.617851418973515809e-02 1.422274403311427626e+00
-6.582270280185912315e-01 -6.341781949314726496e-01 2.404883308711858181e-02 1.435158171939632243e+00
-6.534555381453139855e-01 -6.314966394998399180e-01 2.195889864547406756e-02 1.428993856029471043e+00
