# Z qmu qsqrt 2qsqrt
6.252512582883278380e-01 -5.032501640188040692e-01 1.534475838989207089e-03 3.068951677978414179e-03
8.938121612784558079e-02 -6.324914170825600701e-01 1.091055871791171434e-03 2.182111743582342868e-03
1.046397502420878395e-01 -8.399949029198237049e-01 1.143492960146939462e-03 2.286985920293878923e-03
8.947268342683821762e-01 -6.574521205358676568e-01 1.186406823099160537e-03 2.372813646198321073e-03
8.946957457682463977e-01 -6.576929155871654720e-01 1.064838173787531267e-03 2.129676347575062533e-03
7.261475207179359480e-03 7.978731560624021668e-01 1.229062227910809098e-03 2.458124455821618197e-03
3.181470937237065311e-01 6.984658207546777797e-01 1.020756549697011918e-03 2.041513099394023836e-03
9.883445042226970956e-02 -7.727997175707618238e-01 1.084308990395534871e-03 2.168617980791069742e-03
2.827639969787949514e-01 3.802438082299540167e-01 1.069385490798488393e-03 2.138770981596976786e-03
6.767357414668627724e-01 -7.617802991825147751e-01 5.248005634682499296e-03 1.049601126936499859e-02
7.125267551802282329e-01 -8.713987424768866452e-01 9.348863317671363832e-03 1.869772663534272766e-02
3.119065919064235581e-01 6.501800722205138827e-01 1.040207862663470630e-03 2.080415725326941259e-03
8.870773838870928962e-01 -7.016202470236759803e-01 1.096328114685615534e-03 2.192656229371231068e-03
1.023997665446439859e-01 -8.155085943572560891e-01 1.046460808354941069e-03 2.092921616709882138e-03
9.939271775243997409e-01 -3.386318094321557216e-03 1.390012332809715048e-03 2.780024665619430096e-03
2.071518831751886502e-01 -5.175004605976064598e-01 1.094008921590700067e-03 2.188017843181400135e-03
2.791061070338918260e-01 3.411143438906288905e-01 1.079092416787503627e-03 2.158184833575007254e-03
6.077368054793648167e-01 -3.505600028874565344e-01 1.271227144963106397e-03 2.542454289926212793e-03
6.382221620143878615e-01 -6.003072537274969367e-01 1.124072181268138352e-03 2.248144362536276704e-03
2.858524283151753775e-01 4.123266554491856750e-01 1.039199985716078188e-03 2.078399971432156376e-03
7.526222980565455689e-01 -1.015319069110500516e+00 2.433711530674602212e-03 4.867423061349204425e-03
8.868278910565057238e-01 -7.029197425453126424e-01 1.061052262370028093e-03 2.122104524740056185e-03
9.093672365682275993e-01 -5.624593282980889786e-01 1.043546444866982458e-03 2.087092889733964916e-03
5.171080682832983610e-01 3.904087579485240322e-01 2.470099358695486413e-03 4.940198717390972827e-03
5.848179932835885220e-01 -1.498818442820521180e-01 1.172201791428049067e-03 2.344403582856098133e-03
3.247932777506309932e-01 7.466586355651420037e-01 1.000773580692929663e-03 2.001547161385859325e-03
8.900309019484921036e-01 -6.851574493339228633e-01 1.081228374318602423e-03 2.162456748637204846e-03
9.234672781564965405e-01 -4.683594476334435597e-01 1.036297738350026778e-03 2.072595476700053556e-03
